UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,TOTAL ELECTORATE,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH VOTE,PN,PN CANDIDATE,PN CANDIDATE GENDER,PN CANDIDATE AGE,PN VOTE,GTA,GTA CANDIDATE,GTA CANDIDATE GENDER,GTA CANDIDATE AGE,GTA VOTE,GPS,GPS CANDIDATE,GPS CANDIDATE GENDER,GPS CANDIDATE AGE,GPS VOTE,GRS,GRS CANDIDATE,GRS CANDIDATE GENDER,GRS CANDIDATE AGE,GRS VOTE,WARISAN,WARISAN CANDIDATE,WARISAN CANDIDATE GENDER,WARISAN CANDIDATE AGE,WARISAN VOTE,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE GENDER,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE GENDER,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE GENDER,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE GENDER,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE
P.032,KELANTAN,P.032,GUA MUSANG,70254,48377,,,,,,PKR,ABE YO,MALE,48,4517,,,,,,PEJUANG,DATO' DR. ADABI,MALE,,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.033,TERENGGANU,P.033,BESUT,111650,85364,,,,,,PAN,USTAZ AZIZ,MALE,,4339,,,,,,PEJUANG,DATO' IR. WAN NAZARI,MALE,,553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.034,TERENGGANU,P.034,SETIU,107294,84832,,,,,,PKR,MOHAMAD BIN NGAH,MALE,69,2125,,,,,,PEJUANG,WAN ADNAN,MALE,,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.035,TERENGGANU,P.035,KUALA NERUS,105952,87628,,,,,,PAN,DATUK SERI SUHAIMI HASHIM,MALE,,3708,,,,,,PUTRA,AZAHA,MALE,,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.036,TERENGGANU,P.036,KUALA TERENGGANU,123305,96552,,,,,,PAN,DATO' RAJA BAHRIN,MALE,67,10946,,,,,,PUTRA,MOHAMAD ABU BAKAR BIN MUDA,MALE,57,481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.037,TERENGGANU,P.037,MARANG,131756,109068,,,,,,PAN,USTAZ AZHAR,MALE,57,4140,,,,,,PUTRA,DR.ZARAWI BIN SULONG,MALE,,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.038,TERENGGANU,P.038,HULU TERENGGANU,87917,72008,,,,,,PKR,CIKGU ALIAS ISMAIL,MALE,54,1740,,,,,,PUTRA,KHADRI,MALE,49,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.039,TERENGGANU,P.039,DUNGUN,115559,91269,,,,,,PKR,DATO' DR MOHD JOHARI,MALE,51,5307,,,,,,PEJUANG,NORAISAH BINTI HASAN,FEMALE,32,322,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BOOK,PEGUAM GHAZALI,MALE,49,305,,,,,,,,,,,,,,,
P.040,TERENGGANU,P.040,KEMAMAN,139423,113095,,,,,,PKR,HASUNI BIN SUDIN,MALE,59,8340,,,,,,PEJUANG,ROSLI,MALE,,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.041,PULAU PINANG,P.041,KEPALA BATAS,83081,69302,,,,,,,,,,,,,,,,BERJASA,USTAZ HAMIDI ABU HASSAN,MALE,,747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
