UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,TOTAL ELECTORATE,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH VOTE,PN,PN CANDIDATE,PN CANDIDATE GENDER,PN CANDIDATE AGE,PN VOTE,GTA,GTA CANDIDATE,GTA CANDIDATE GENDER,GTA CANDIDATE AGE,GTA VOTE,GPS,GPS CANDIDATE,GPS CANDIDATE GENDER,GPS CANDIDATE AGE,GPS VOTE,GRS,GRS CANDIDATE,GRS CANDIDATE GENDER,GRS CANDIDATE AGE,GRS VOTE,WARISAN,WARISAN CANDIDATE,WARISAN CANDIDATE GENDER,WARISAN CANDIDATE AGE,WARISAN VOTE,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE GENDER,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE GENDER,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE GENDER,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE GENDER,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE
P.162,JOHOR,P.162,ISKANDAR PUTERI,222437,163680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.163,JOHOR,P.163,KULAI,151247,115253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.164,JOHOR,P.164,PONTIAN,75212,56851,,,,,,,,,,,,,,,,GB,JAMALUDDIN MOHAMAD,MALE,,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.165,JOHOR,P.165,TANJUNG PIAI,70679,54588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.166,WILAYAH PERSEKUTUAN LABUAN,P.166,LABUAN,44484,28449,,,,,,,,,,,,,,,,PUTRA,RAMLE,MALE,,90,,,,,,,,,,,,,,,,PBM,DAYANG RUSIMAH @ RAYNIE BINTI DATUK HJ. MOHD. DIN,FEMALE,42,202,,,,,,,,,,,,,,,,,,,,,,,,,
P.167,SABAH,P.167,KUDAT,75724,45108,,,,,,PKR,THONNY CHEE,MALE,42,4726,,,,,,PEJUANG,PETRONELLA USUN,FEMALE,34,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.168,SABAH,P.168,KOTA MARUDU,80735,49946,,,,,,,,,,,,,,,,PEJUANG,MOHD AZMI BIN HJ ZULKIFLEE,MALE,,279,,,,,,,,,,,WARISAN,JILID @ ZAINUDDIN BIN KUMINDING,MALE,60,5320,MUDA,SHAHRIZAL DENCI,MALE,40,3225,,,,,,INDEPENDENT - KEY,NORMAN BIN TULANG (TAS),MALE,,660,,,,,,,,,,,,,,,
P.169,SABAH,P.169,KOTA BELUD,79885,54037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 170,SABAH,P. 170,TUARAN,83419,58227,,,,,,,,,,,,,,,,PEJUANG,MUMININ B. NORBINSHA,MALE,,445,,,,,,,,,,,WARISAN,JO-ANNA SUE HENLEY RAMPAS,FEMALE,33,5728,,,,,,,,,,,INDEPENDENT - KEY,BOBY BIN LEWAT,MALE,,393,INDEPENDENT - PEN,NOORTAIP BIN SUHAILI @ SUALEE,MALE,,2008,,,,,,,,,,
P. 171,SABAH,P. 171,SEPANGGAR,108370,70304,,,,,,,,,,,,,,,,PEJUANG,YUSOF BIN KUNCHANG,MALE,,731,,,,,,,,,,,,,,,,KDM,JUMARDIE LUKMAN,MALE,40,3977,,,,,,,,,,,,,,,,,,,,,,,,,
P. 172,SABAH,P. 172,KOTA KINABALU,74059,44120,,,,,,,,,,,,,,,,,,,,,,,,,,PBS,YEE TSAI YIEW,FEMALE,32,4592,,,,,,KDM,WINSTON LIAW KIT SIONG,MALE,,456,,,,,,,,,,,INDEPENDENT - TELEPHONE,MARCEL JUDE,MALE,,137,,,,,,,,,,
P. 173,SABAH,P. 173,PUTATAN,63173,41249,,,,,,,,,,,,,,,,IMAN,POYNE B. TUDUS @ PATRICK PAYNE,MALE,,394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 174,SABAH,P. 174,PENAMPANG,77214,50730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - TREE,RICHARD JIMMY,MALE,54,289,,,,,,,,,,,,,,,
P. 175,SABAH,P. 175,PAPAR,59942,43509,,,,,,,,,,,,,,,,PEJUANG,NICHOLAS SYLVESTER @ BERRY,MALE,56,783,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,NORBERT CHIN,MALE,,231,INDEPENDENT - PEN,JOHNNY SITAMIN,MALE,,277,,,,,,,,,,
P. 176,SABAH,P. 176,KIMANIS,40763,31068,,,,,,,,,,,,,,,,PEJUANG,YUSOP BIN OSMAN,MALE,,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 177,SABAH,P. 177,BEAUFORT,43248,29298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WARISAN,MASRI BIN ADUL,MALE,,2152,,,,,,,,,,,,,,,,INDEPENDENT - TREE,MATLANI BIN SABLI,MALE,,143,INDEPENDENT - KEY,JOHAN @ CHRISTOPHER BIN O T GHANI,,,546,,,,,
P. 178,SABAH,P. 178,SIPITANG,45871,29061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 179,SABAH,P. 179,RANAU,66517,42298,,,,,,,,,,,,,,,,PEJUANG,AZIZUL JULIRIN,MALE,34,1267,,,,,,,,,,,WARISAN,MARKOS SITON,MALE,67,2657,PBRS,EWON BIN EBIN,MALE,68,4254,,,,,,,,,,,,,,,,,,,,,,,,,
P. 180,SABAH,P. 180,KENINGAU,87588,54872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 181,SABAH,P. 181,TENOM,42045,28649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WARISAN,UKIM BUANDI,MALE,,992,,,,,,,,,,,,,,,,INDEPENDENT - TRACTOR,PEGGY CHAW ZHI TING,FEMALE,23,86,,,,,,,,,,
P. 182,SABAH,P. 182,PENSIANGAN,55672,37110,,,,,,,,,,,,,,,,PEJUANG,JAMANI BIN DERIMIN,MALE,,124,,,,,,,,,,,WARISAN,SITI NOORHASMAWATTY OSMAN,FEMALE,,1512,KDM,JEKERISON KILAN,MALE,52,1640,,,,,,,,,,,,,,,,,,,,,,,,,
P. 183,SABAH,P. 183,BELURAN,44727,29334,,,,,,,,,,,,,,,,PEJUANG,HAUSING BIN SAMSUDIN @ SUDIN,MALE,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 184,SABAH,P. 184,LIBARAN,72332,44531,,,,,,,,,,,,,,,,PUTRA,JEFFRI @ AMAT PUDANG,MALE,,826,,,,,,,,,,,,,,,,PPRS,NORDIN BIN KHANI,MALE,,541,,,,,,,,,,,INDEPENDENT - TREE,HJ. AMDAN BIN TUMPONG,MALE,,659,,,,,,,,,,
P. 185,SABAH,P. 185,BATU SAPI,43916,27037,,,,,,,,,,,,,,,,PUTRA,BONI YUSUF JUANICO ABDULLAH,MALE,,176,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BOOK,IR. HJ. OTHMAN HJ. AHMAD,MALE,,160,,,,,,,,,,,,,,,
P. 186,SABAH,P. 186,SANDAKAN,55542,30919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - TREE,PETER HII,MALE,,2342,INDEPENDENT - DONKEY,SYEIKH LOKEMAN,MALE,,962,INDEPENDENT - BOOK,HAJJAH LITA TAN BINTI ABDULLAH,FEMALE,,246,,,,,
P. 187,SABAH,P. 187,KINABATANGAN,44773,29354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 188,SABAH,P. 188,LAHAD DATU,100256,58145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 189,SABAH,P. 189,SEMPORNA,72169,38909,,,,,,PKR,ARASTAM BIN PANDOROG,MALE,,1848,,,,,,PEJUANG,AB RAJIK AB HAMID,MALE,,467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 190,SABAH,P. 190,TAWAU,87477,50687,,,,,,,,,,,,,,,,PEJUANG,HERMAN BIN AMDAS,MALE,,1067,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - TREE,DATO' CHIN CHEE SYN,MALE,,651,INDEPENDENT - AEROPLANE,MOHD SALLEH BACHO,MALE,,1776,,,,,,,,,,
P. 191,SABAH,P. 191,KALABAKAN,83970,50030,,,,,,,,,,,,,,,,PEJUANG,DR NUR AINI ABD RAHMAN (MD),FEMALE,,1681,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - TREE,DATO MUHAMAD,MALE,,341,,,,,,,,,,,,,,,
P. 192,SARAWAK,P. 192,MAS GADING,47171,31379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PBK,RYAN SIM MIN LEONG,MALE,43,2311,,,,,,,,,,,,,,,,,,,,,,,,,
P. 193,SARAWAK,P. 193,SANTUBONG,79540,51809,,,,,,PAN,MOHAMAD ZEN PELI,MALE,,5058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,AFFENDI BIN JEMAN,MALE,59,3012,,,,,,,,,,,,,,,
P. 194,SARAWAK,P. 194,PETRA JAYA,109809,69163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEDAR,OTHMAN BIN ABDILLAH,MALE,66,1036,,,,,,,,,,,,,,,,,,,,,,,,,
P. 195,SARAWAK,P. 195,BANDAR KUCHING,109710,63575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PSB,VOON LEE SHAN,MALE,67,1760,,,,,,,,,,,,,,,,,,,,,,,,,
P. 196,SARAWAK,P. 196,STAMPIN,121009,73753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PSB,LUE CHENG HING,MALE,58,2291,,,,,,,,,,,,,,,,,,,,,,,,,
P. 197,SARAWAK,P. 197,KOTA SAMARAHAN,82229,55111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 198,SARAWAK,P. 198,PUNCAK BORNEO,79969,51154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PSB,IANA ANAK AKAM,FEMALE,47,5578,,,,,,,,,,,,,,,,,,,,,,,,,
P. 199,SARAWAK,P. 199,SERIAN,65273,39974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 200,SARAWAK,P. 200,BATANG SADONG,32640,22443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 201,SARAWAK,P. 201,BATANG LUPAR,43072,27559,,,,,,PAN,WEL @ MAXWEL ROJIS,MALE,,2768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 202,SARAWAK,P. 202,SRI AMAN,50164,31917,,,,,,PKR,NAGA LIBAU @ TAY,MALE,44,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 203,SARAWAK,P. 203,LUBOK ANTU,28995,19294,,,,,,PKR,LANGGA LIAS,MALE,61,746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 204,SARAWAK,P. 204,BETONG,41743,26713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 205,SARAWAK,P. 205,SARATOK,44531,30841,,,,,,PKR,IBIL JAYA,MALE,61,1221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 206,SARAWAK,P. 206,TANJONG MANIS,32948,19040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 207,SARAWAK,P. 207,IGAN,28290,16986,,,,,,PAN,HUD ANDRI,MALE,50,1162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 208,SARAWAK,P. 208,SARIKEI,55018,36463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 209,SARAWAK,P. 209,JULAU,34850,22537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PBDS,SUSAN ANAK GEORGE,FEMALE,37,335,,,,,,,,,,,,,,,,,,,,
P. 210,SARAWAK,P. 210,KANOWIT,30988,18043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,DR. ELLI LUHAT,MALE,65,427,INDEPENDENT - BOOK,GEORGE CHEN,MALE,60,741,,,,,,,,,,
P. 211,SARAWAK,P. 211,LANANG,87356,52946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PSB,PRISCILLA LAU,FEMALE,53,3663,,,,,,,,,,,INDEPENDENT - DONKEY,DATO WONG TIING KIONG,MALE,60,587,,,,,,,,,,
P. 212,SARAWAK,P. 212,SIBU,105875,65942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 213,SARAWAK,P. 213,MUKAH,46964,27780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 214,SARAWAK,P. 214,SELANGAU,45743,28796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - AEROPLANE,HENRY JOSEPH USAU,MALE,,1626,,,,,,,,,,,,,,,
P. 215,SARAWAK,P. 215,KAPIT,45210,21999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PBDS,ROBERT SAWENG,MALE,52,1357,,,,,,,,,,,,,,,,,,,,,,,,,
P. 216,SARAWAK,P. 216,HULU RAJANG,43438,23407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 217,SARAWAK,P. 217,BINTULU,113599,70392,,,,,,,,,,,PPBM,DUKE ANAK JANTENG,MALE,,5650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 218,SARAWAK,P. 218,SIBUTI,58522,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PBDS,BOBBY ANAK WILLIAM,MALE,55,1361,,,,,,,,,,,,,,,,,,,,,,,,,
P. 219,SARAWAK,P. 219,MIRI,143229,78148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PSB,LAWRENCE LAI,MALE,,5209,,,,,,,,,,,,,,,,,,,,,,,,,
P. 220,SARAWAK,P. 220,BARAM,59535,29783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - TREE,WILFREDENTIKA,MALE,64,324,,,,,,,,,,,,,,,
P. 221,SARAWAK,P. 221,LIMBANG,41999,19796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 222,SARAWAK,P. 222,LAWAS,33655,18208,,,,,,PKR,HJ JAPAR BIN HJ SUYUT,MALE,61,1163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
