UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORATE,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH VOTE,PN,PN CANDIDATE,PN CANDIDATE GENDER,PN CANDIDATE AGE,PN VOTE,GTA,GTA CANDIDATE,GTA CANDIDATE GENDER,GTA CANDIDATE AGE,GTA VOTE,GPS,GPS CANDIDATE,GPS CANDIDATE GENDER,GPS CANDIDATE AGE,GPS VOTE,GRS,GRS CANDIDATE,GRS CANDIDATE GENDER,GRS CANDIDATE AGE,GRS VOTE,WARISAN,WARISAN CANDIDATE,WARISAN CANDIDATE GENDER,WARISAN CANDIDATE AGE,WARISAN VOTE,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE GENDER,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE GENDER,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE GENDER,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE GENDER,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,,,,
P.061_N.20,PERAK,P.061,PADANG RENGAS,N.20,LUBOK MERBAU,20904,16369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.062_N.21,PERAK,P.062,SUNGAI SIPUT,N.21,LINTANG,33107,24831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.062_N.22,PERAK,P.062,SUNGAI SIPUT,N.22,JALONG,39288,27007,,,,,,,,,,,GERAKAN,DATO NARAN SINGH,MALE,,3043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,INDRANI,FEMALE,50,767,,,,,,,,,,,,,,,,,,,
P.063_N.23,PERAK,P.063,TAMBUN,N.23,MANJOI,86266,67635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.063_N.24,PERAK,P.063,TAMBUN,N.24,HULU KINTA,74292,56938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - ELEPHANT,MURUGIAH SUBRAMANIAM,MALE,,437,,,,,,,,,,,,,,,,,,,
P.064_N.25,PERAK,P.064,IPOH TIMOR,N.25,CANNING,41021,25862,MCA,WOO KOK TOONG,MALE,31,1793,,,,,,GERAKAN,PANG BOON YANG,MALE,25,1542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.064_N.26,PERAK,P.064,IPOH TIMOR,N.26,TEBING TINGGI,37223,27811,,,,,,,,,,,,,,,,PEJUANG,MIOR HAIDIR,MALE,,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.064_N.27,PERAK,P.064,IPOH TIMOR,N.27,PASIR PINJI,39934,26188,MCA,SOO POH YEOW,MALE,44,1523,,,,,,GERAKAN,LAM KIN YIP,MALE,45,973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.065_N.28,PERAK,P.065,IPOH BARAT,N.28,BERCHAM,52750,36429,MCA,ALBERT HO,MALE,55,3482,,,,,,GERAKAN,LIM JIN SHENG,MALE,,3351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.065_N.29,PERAK,P.065,IPOH BARAT,N.29,KEPAYANG,25190,16498,MCA,LIM HUEY SHAN,MALE,47,2035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
