UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIANS (%),ORANG ASLI (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - POLICE (%),ELECTORS - MILITARY (%),18-20 (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),ABOVE 90 (%),MALE ELECTORS (%),WOMEN ELECTORS (%),URBAN-RURAL CLASSIFICATION (2022)
P.089,PAHANG,P.089,BENTONG,87058,49.25,37.99,9.09,2.65,0.16,0.17,0.68,98.6,0.01,0.35,1.03,5.38,19.05,22.37,17.47,15.19,11.66,6.40,2.16,0.32,50.98,49.02,SEMI URBAN
P.090,PAHANG,P.090,BERA,77669,62.04,27.82,3.66,5.18,0.27,0.32,0.71,95.1,0.01,0.36,4.53,5.73,20.41,25.92,18.25,12.71,9.59,5.77,1.44,0.18,51.26,48.74,RURAL
P.091,PAHANG,P.091,ROMPIN,89131,83.29,2.43,0.89,11.87,0.16,0.10,1.25,99.29,0.00,0.38,0.33,6.51,22.75,28.78,16.66,10.38,10.00,4.14,0.65,0.13,49.84,50.16,RURAL
P.092,SELANGOR,P.092,SABAK BERNAM,51609,81.32,13.05,4.88,0.01,0.10,0.09,0.56,99.89,0.00,0.10,0.01,6.01,20.67,23.57,16.59,14.64,10.40,5.89,1.82,0.42,49.18,50.82,RURAL
P.093,SELANGOR,P.093,SUNGAI BESAR,64382,67.33,29.33,2.10,0.01,0.21,0.09,0.93,99.49,0.00,0.50,0.00,5.95,22.25,24.14,16.94,14.62,9.42,4.92,1.48,0.28,50.51,49.49,SEMI URBAN
P.094,SELANGOR,P.094,HULU SELANGOR,154317,62.81,18.14,15.13,1.84,0.34,0.27,1.47,99.12,0.01,0.69,0.18,8.03,25.48,20.80,15.83,15.00,9.41,3.89,1.29,0.27,49.63,50.37,SEMI URBAN
P.095,SELANGOR,P.095,TANJONG KARANG,62194,73.15,17.20,8.23,0.01,0.10,0.05,1.26,99.95,0.01,0.04,0.00,6.17,21.19,23.26,17.68,14.65,10.13,5.03,1.51,0.37,50.17,49.83,RURAL
P.096,SELANGOR,P.096,KUALA SELANGOR,102951,66.81,12.06,19.55,0.01,0.20,0.12,1.24,99.61,0.01,0.38,0.00,7.99,24.61,21.83,16.74,14.34,9.06,4.03,1.11,0.28,49.46,50.54,SEMI URBAN
P.097,SELANGOR,P.097,SELAYANG,181539,51.59,26.30,17.90,0.26,0.42,0.28,3.24,99.64,0.01,0.34,0.02,8.34,25.33,21.15,16.40,14.39,9.52,3.67,1.02,0.19,49.57,50.43,URBAN
P.098,SELANGOR,P.098,GOMBAK,206744,69.94,10.86,10.86,0.50,0.26,0.19,7.39,99.75,0.04,0.11,0.10,6.65,21.78,23.00,17.50,13.89,11.04,4.93,1.06,0.16,49.62,50.38,URBAN
P.099,SELANGOR,P.099,AMPANG,133494,51.40,32.44,9.68,0.01,0.44,0.29,5.74,99.74,0.03,0.23,0.00,6.34,21.08,21.35,17.31,15.21,11.80,5.21,1.47,0.22,49.29,50.71,URBAN
P.100,SELANGOR,P.100,PANDAN,148730,40.22,46.97,7.95,0.02,0.76,0.34,3.75,99.59,0.02,0.39,0.00,5.58,20.17,22.61,18.39,16.04,11.71,4.31,1.06,0.12,49.3,50.7,URBAN
P.101,SELANGOR,P.101,HULU LANGAT,166902,63.45,20.97,10.72,0.90,0.49,0.35,3.12,98.14,0.02,1.84,0.00,8.92,25.99,21.37,16.22,13.67,9.23,3.45,0.98,0.16,50.03,49.97,URBAN
P.102,SELANGOR,P.102,BANGI,303430,48.43,36.96,11.19,0.01,0.61,0.40,2.39,99.55,0.03,0.31,0.11,8.61,25.83,21.60,16.64,13.73,9.18,3.47,0.83,0.11,49.45,50.55,URBAN
P.103,SELANGOR,P.103,PUCHONG,152861,37.26,49.40,10.95,0.18,0.71,0.35,1.15,99.72,0.02,0.24,0.02,7.70,23.02,19.58,19.40,15.21,9.61,4.23,1.12,0.13,50.06,49.94,URBAN
P.104,SELANGOR,P.104,SUBANG,230940,26.25,54.04,16.81,0.01,0.81,0.49,1.59,99.22,0.04,0.66,0.08,6.61,21.45,20.05,17.62,16.44,12.05,4.52,1.13,0.13,49.42,50.58,URBAN
P.105,SELANGOR,P.105,PETALING JAYA,195148,46.15,29.56,20.73,0.01,0.66,0.35,2.53,97.77,0.02,0.44,1.76,5.17,17.62,19.74,17.99,16.19,13.23,6.98,2.47,0.60,49.35,50.65,URBAN
P.106,SELANGOR,P.106,DAMANSARA,239103,20.66,66.14,9.98,0.25,0.49,0.27,2.23,99.77,0.02,0.20,0.00,5.55,17.90,18.47,18.50,15.97,13.04,7.64,2.52,0.40,48.67,51.33,URBAN
P.107,SELANGOR,P.107,SUNGAI BULOH,158090,62.62,20.70,10.44,0.07,0.78,0.48,4.90,98.46,0.03,0.34,1.17,9.64,26.95,21.21,16.95,13.87,7.84,2.75,0.65,0.12,50.1,49.9,URBAN
P.108,SELANGOR,P.108,SHAH ALAM,165744,73.36,12.67,11.92,0.09,0.55,0.33,1.08,98.9,0.04,1.03,0.03,8.12,23.57,22.03,17.73,13.54,10.33,3.86,0.71,0.12,49.91,50.09,URBAN
P.109,SELANGOR,P.109,KAPAR,189369,68.00,15.26,14.21,0.06,0.51,0.17,1.79,99.73,0.01,0.26,0.00,8.31,25.57,21.75,17.19,14.18,8.63,3.43,0.79,0.15,49.76,50.24,URBAN
P.110,SELANGOR,P.110,KLANG,208913,26.65,52.77,18.25,0.10,0.71,0.22,1.30,99.38,0.02,0.46,0.15,5.58,18.45,19.19,18.44,16.10,13.16,6.67,1.95,0.46,49.86,50.14,URBAN
P.111,SELANGOR,P.111,KOTA RAJA,244712,39.81,29.68,27.34,0.02,1.33,0.34,1.48,99.96,0.02,0.02,0.00,9.09,25.90,21.20,17.86,13.82,8.29,3.07,0.66,0.11,49.38,50.62,URBAN
P.112,SELANGOR,P.112,KUALA LANGAT,148637,54.86,23.76,17.28,2.02,0.42,0.17,1.47,99.26,0.01,0.25,0.48,7.79,23.55,22.61,17.84,13.53,9.29,3.95,1.18,0.25,49.75,50.25,SEMI URBAN
P.113,SELANGOR,P.113,SEPANG,168039,62.92,19.15,13.14,2.12,0.71,0.40,1.55,98.87,0.03,1.10,0.00,9.11,25.20,21.37,17.73,13.43,8.35,3.49,1.08,0.23,50.24,49.76,SEMI URBAN
P.114,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.114,KEPONG,94285,5.62,85.51,7.08,0.01,0.87,0.14,0.77,99.69,0.01,0.30,0.00,4.14,14.88,16.20,18.22,19.37,15.55,8.54,2.73,0.37,50.24,49.76,URBAN
P.115,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.115,BATU,113863,44.05,34.57,18.18,0.04,0.60,0.46,2.11,97.37,0.02,0.67,1.95,5.78,20.39,22.93,17.54,14.40,11.78,5.19,1.62,0.38,49.81,50.19,URBAN
P.116,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.116,WANGSA MAJU,120323,57.71,28.51,9.11,0.05,0.61,0.63,3.38,97.65,0.03,0.28,2.04,5.14,19.42,24.06,17.75,14.67,12.48,4.96,1.31,0.21,49.37,50.63,URBAN
P.117,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.117,SEGAMBUT,119652,26.77,56.76,11.81,0.03,0.33,0.28,4.04,99.74,0.05,0.21,0.00,5.35,18.37,20.70,17.56,15.05,13.46,6.83,2.16,0.51,48.72,51.28,URBAN
P.118,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.118,SETIAWANGSA,95753,60.52,24.51,11.69,0.05,0.81,0.97,1.45,87.31,0.04,2.87,9.78,5.28,20.44,25.86,17.50,14.15,11.25,4.18,1.09,0.24,51.31,48.69,URBAN
P.119,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.119,TITIWANGSA,80747,66.43,16.50,9.31,0.03,0.69,0.45,6.60,97.37,0.02,0.37,2.24,4.80,17.44,20.72,17.06,17.07,14.21,6.18,1.90,0.63,49.84,50.16,URBAN
P.120,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.120,BUKIT BINTANG,79782,13.05,71.60,12.41,0.02,0.91,0.40,1.62,96.74,0.01,3.25,0.00,2.59,9.66,13.02,15.66,19.47,21.01,12.27,4.54,1.78,52.32,47.68,URBAN
P.121,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.121,LEMBAH PANTAI,101828,59.09,19.14,17.18,0.04,1.00,0.63,2.92,90.38,0.02,9.55,0.05,4.01,15.82,22.46,18.94,16.57,13.35,6.36,2.04,0.46,52.14,47.86,URBAN
P.122,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.122,SEPUTEH,124805,12.06,76.78,8.96,0.01,0.52,0.22,1.43,99.65,0.02,0.32,0.00,5.01,16.97,17.92,18.61,16.84,13.50,7.91,2.77,0.48,48.72,51.28,URBAN
P.123,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.123,CHERAS,101184,13.44,77.09,7.77,0.01,0.56,0.23,0.90,98.86,0.01,1.13,0.00,3.79,13.75,16.21,17.88,18.45,17.08,9.07,3.14,0.64,49.74,50.26,URBAN
