UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH VOTE,PN,PN CANDIDATE,PN CANDIDATE GENDER,PN CANDIDATE AGE,PN VOTE,GTA,GTA CANDIDATE,GTA CANDIDATE GENDER,GTA CANDIDATE AGE,GTA VOTE,GPS,GPS CANDIDATE,GPS CANDIDATE GENDER,GPS CANDIDATE AGE,GPS VOTE,GRS,GRS CANDIDATE,GRS CANDIDATE GENDER,GRS CANDIDATE AGE,GRS VOTE,WARISAN,WARISAN CANDIDATE,WARISAN CANDIDATE GENDER,WARISAN CANDIDATE AGE,WARISAN VOTE,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE GENDER,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE GENDER,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE GENDER,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE GENDER,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE
P.033,TERENGGANU,P.033,BESUT,PN - PAS,,111650,18666,77.46,86487,246,877,85364,UMNO,DATUK HAJI NAWI MOHAMAD,MALE,59,30903,PAN,USTAZ AZIZ,MALE,,4339,PAS,DATUK ABE ZUL,MALE,63,49569,PEJUANG,DATO' IR. WAN NAZARI,MALE,,553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.034,TERENGGANU,P.034,SETIU,PN - PAS,,107294,19032,80.18,86029,153,1044,84832,UMNO,ABDUL RAHMAN BIN MAT YASIN,MALE,,31736,PKR,MOHAMAD BIN NGAH,MALE,69,2125,PAS,USTAZ ZUKIRNAIN ABD KADIR,MALE,53,50768,PEJUANG,WAN ADNAN,MALE,,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.035,TERENGGANU,P.035,KUALA NERUS,PN - PAS,,105952,29765,83.56,88536,172,736,87628,BN - DIRECT,UST. DATO' DR. KHAIRUDDIN TAKIRI,MALE,49,26932,PAN,DATUK SERI SUHAIMI HASHIM,MALE,,3708,PAS,DATO' DR. HAJI ALIAS RAZAK,MALE,63,56697,PUTRA,AZAHA,MALE,,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.036,TERENGGANU,P.036,KUALA TERENGGANU,PN - PAS,,123305,40907,79.16,97605,286,767,96552,UMNO,DATO' CIKGU ZUBIR,MALE,68,22109,PAN,DATO' RAJA BAHRIN,MALE,67,10946,PAS,DATUK HAJI AMZAD HASHIM,MALE,52,63016,PUTRA,MOHAMAD ABU BAKAR BIN MUDA,MALE,57,481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.037,TERENGGANU,P.037,MARANG,PN - PAS,,131756,41729,83.68,110250,234,948,109068,UMNO,JASMIRA OTHMAN,MALE,48,31386,PAN,USTAZ AZHAR,MALE,57,4140,PAS,TUAN GURU HAJI ABDUL HADI AWANG,MALE,75,73115,PUTRA,DR.ZARAWI BIN SULONG,MALE,,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.038,TERENGGANU,P.038,HULU TERENGGANU,PN - PPBM,,87917,15734,82.92,72905,104,793,72008,UMNO,CIKGU ROZI,MALE,51,27176,PKR,CIKGU ALIAS ISMAIL,MALE,54,1740,PPBM,DATO ROSOL WAHID,MALE,58,42910,PUTRA,KHADRI,MALE,49,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.039,TERENGGANU,P.039,DUNGUN,PN - PAS,,115559,34105,79.72,92128,123,736,91269,UMNO,USTAZ SHAM,MALE,,25615,PKR,DATO' DR MOHD JOHARI,MALE,51,5307,PAS,USTAZ HAJI WAN HASSAN,MALE,65,59720,PEJUANG,NORAISAH BINTI HASAN,FEMALE,32,322,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BOOK,PEGUAM GHAZALI,MALE,49,305,,,,,,,,,,,,,,,
P.040,TERENGGANU,P.040,KEMAMAN,PN - PAS,,139423,27179,82.15,114533,150,1288,113095,UMNO,DATO' SERI HJ AHMAD BIN SAID,MALE,65,38535,PKR,HASUNI BIN SUDIN,MALE,59,8340,PAS,USTAZ CHE ALIAS HAMID,MALE,53,65714,PEJUANG,ROSLI,MALE,,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.041,PULAU PINANG,P.041,KEPALA BATAS,PN - PAS,,83081,2867,84.44,70150,134,714,69302,UMNO,DATO' SRI REEZAL MERICAN BIN NAINA MERICAN,MALE,50,25737,,,,,,PAS,DR USTAZAH MASTURA,FEMALE,33,28604,BERJASA,USTAZ HAMIDI ABU HASSAN,MALE,,747,,,,,,,,,,,,,,,,MUDA,DANIEL ABDUL MAJEED,MALE,26,14214,,,,,,,,,,,,,,,,,,,,,,,,,
P.042,PULAU PINANG,P.042,TASEK GELUGOR,PN - PPBM,,80868,12252,83.83,67790,136,542,67112,UMNO,MUHAMAD YUSOFF BIN MOHD NOOR (YB CHOP),MALE,59,18864,PAN,RAZAK RIDZUAN,MALE,35,16547,PPBM,DATUK WAN SAIFUL WAN JAN,MALE,47,31116,GB,DR. ABDUL HALIM,MALE,51,406,,,,,,,,,,,WARISAN,AKMAL AZHAR,MALE,35,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
